can	罐頭	罐头
winery	葡萄酒廠	葡萄酒厂
sonar	聲納	声纳
stanley steamer	斯坦利蒸汽車	斯坦利蒸汽车
latte	拿鐵咖啡	拿铁咖啡
bran	糠	糠
zipper	拉鍊	拉链
funeral parlor	殯儀館	殡仪馆
orchid	蘭花	兰花
chocolate fudge	巧克力軟糖	巧克力软糖
adjunct	附屬物	附属物
jug	水壺	水壶
titanium oxide	三氧化鈦	三氧化钛
great smoky mountains	大霧山	大雾山
margarita	瑪格麗塔(Margaret的異體)(f.)	玛格丽塔(Margaret的异体)(f.)
peat	泥煤	泥煤
superior thyroid vein	甲狀腺上靜脈	甲状腺上静脉
potomac river	波托馬克河	波托马克河
rattle weed	撥浪鼓雜草	拨浪鼓杂草
pancreatic juice	胰液	胰液
beak	鳥嘴	鸟嘴
peptide	肽	肽
lobe	葉	叶
almond willow	杏仁柳	杏仁柳
browning automatic rifle	布朗寧自動步槍	布朗宁自动步枪
chateau	城堡	城堡
loo	盧牌戲	卢牌戏
constance	康士坦茨湖（位於瑞士	康士坦茨湖（位于瑞士
gun muzzle	炮口	炮口
articulated ladder	鉸鏈梯	铰链梯
blueberry	烏飯樹	乌饭树
waffle	華夫餅乾	华夫饼干
automatic washer	自動洗衣機	自动洗衣机
emery	金剛砂	金刚砂
headphone	戴在頭上的收話器	戴在头上的收话器
snapping shrimp	鼓蝦	鼓虾
sodium-vapor lamp	鈉氣燈	钠气灯
female mammal	女性哺乳動物	女性哺乳动物
piggy	小豬	小猪
piling	打樁	打桩
rh positive	陽性	阳性
starch	澱粉	淀粉
boar	公豬	公猪
mustard plaster	芥子硬膏	芥子硬膏
ballpark	（美）棒球場	（美）棒球场
acoustic modem	聲頻調變解調器	声频调制解调器
orchid family	蘭科	兰科
indigo plant	靛藍棕	靛蓝棕
pyramids of egypt	埃及金字塔	埃及金字塔
rough-legged hawk	毛腳𪤢(Buteo lagopus和Buteo regalis)	毛脚𪤢(Buteo lagopus和Buteo regalis)
meat grinder	絞肉機	绞肉机
orbital cavity	眼眶	眼眶
mercury chloride	氯化汞	氯化汞
bordeaux mixture	波爾多液	波尔多液
alpine glacier	[地理] 高山冰川	[地理] 高山冰川
burr oak	[美國] 伯奧克	[美国] 伯奥克
after-shave lotion	剃鬚後用的潤膚膏	剃须后用的润肤膏
goa bean	四稜豆	四棱豆
armoured combat vehicle	裝甲戰鬥車	装甲战斗车
celery salt	芹籽鹽	芹籽盐
astronomical telescope	天文望遠鏡	天文望远镜
low blueberry	北美矮越桔	北美矮越桔
bell foundry	鑄鐘場	铸钟场
water orchid	水蘭花	水兰花
wild indigo	【植物】 = baptisia	【植物】 = baptisia
rh negative	陰性	阴性
water jug	水壺	水壶
aluminum chloride	氯化鋁	氯化铝
spirits of ammonia	氨酊(滷精)	氨酊(卤精)
rotor shaft	轉軸	转轴
tent caterpillar	天幕毛蟲	天幕毛虫
particle accelerator	質點加速器	质点加速器
minnie mouse	米妮	米妮
wood engraving	木刻術	木刻术
tea cosy	茶壺外面的保溫套	茶壶外面的保温套
vortex vein	渦靜脈	涡静脉
overhead projector	高射投影儀	高射投影仪
piggy bank	撲滿	扑满
oregon myrtle	俄勒岡香桃木	俄勒冈香桃木
nail enamel	指甲油	指甲油
fetal circulation	胎體迴圈	胎体循环
broom beard grass	掃帚鬍鬚草	扫帚胡须草
cerebral cortex	大腦皮質	大脑皮质
blue orchid	藍色的蘭花	蓝色的兰花
bearded seal	髯海豹	髯海豹
abdominal cavity	腹腔	腹腔
alpine type of glacier	高山型冰川	高山型冰川
stick lac	樹枝蟲膠	树枝虫胶
emery rock	剛玉巖	刚玉岩
rh factor	Rh因子	Rh因子
sac fungus	子囊菌	子囊菌
gall of the earth	膽小的地球	胆小的地球
corn muffin	玉米粉小蛋糕	玉米粉小蛋糕
powdered sugar	糖粉	糖粉
buffalo clover	水牛草	水牛草
emery paper	砂紙	砂纸
labrador sea	拉布拉多海（位於格陵蘭與拉布拉多島之間）	拉布拉多海（位于格陵兰与拉布拉多岛之间）
golden hamster	金地鼠	金地鼠
cartridge fuse	熔線筒	熔线筒
pancake turner	鍋鏟	锅铲
european blueberry	歐洲藍莓	欧洲蓝莓
ring rot fungus	環腐真菌	环腐真菌
bottom rot fungus	底腐菌	底腐菌
steel engraving	鋼版雕刻	钢版雕刻
cocoa plum	可可梅	可可梅
sustaining pedal	（鋼琴的）延音踏板	（钢琴的）延音踏板
mount hubbard	哈伯德山	哈伯德山
plywood	夾板	夹板
false indigo	假木蘭	假木兰
oatmeal cookie	燕麥餅乾	燕麦饼乾
dishwasher	洗碗機	洗碗机
neon induction lamp	霓虹燈	霓虹灯
hedge thorn	對沖刺	对冲刺
corrective	改善法	改善法
rh-negative blood	陰性血液	阴性血液
perch	棲木	栖木
airfield	飛機場	飞机场
rh-positive blood type	Rh陽性血型	Rh阳性血型
grange	農莊	农庄
mahogany	桃花心木	桃花心木
manila hemp	馬尼拉麻	马尼拉麻
hangar	棚廠	棚厂
tubing	管料	管料
powdered milk	奶粉	奶粉
tights	緊身衣褲	紧身衣裤
hydrogen chloride	氯化氫	氯化氢
monkey wrench	活動扳手	活动扳手
nuke	核武器	核武器
tennis racket	網球拍	网球拍
cello	大提琴	大提琴
truss	捆	捆
chariot	二輪戰車	二轮战车
husky	強壯結實之人	强壮结实之人
go-kart	微型單座(競賽)汽車	微型单座(竞赛)汽车
wearable	衣服	衣服
doodle	傻子	傻子
lipid	脂類	脂类
plant toxin	植物毒素	植物毒素
detox	戒癮病房	戒瘾病房
hedge sparrow	籬雀	篱雀
indigo bird	藍鵐(北美產雀科小鳴鳥)	蓝鹀(北美产雀科小鸣鸟)
chilli	紅辣椒	红辣椒
aspirin powder	英文通用名	英文通用名
cassie	卡西(Cass的異體)(f.)	卡西(Cass的异体)(f.)
tofu	豆腐	豆腐
tripoli	矽藻土	硅藻土
wreckage	殘骸	残骸
nightingale	夜鶯	夜莺
sunscreen	(防曬油中的)遮光劑	(防晒油中的)遮光剂
luncheon meat	午餐肉	午餐肉
infusion	注入	注入
monkey-wrench	活扳手	活扳手
whispering dome	低音廊	低音廊
ovarian vein	卵巢靜脈	卵巢静脉
whispering bells	呢喃鈴聲	呢喃铃声
mahogany family	楝科	楝科
sand dab	沙鮃	沙鲆
white-tailed deer	白尾鹿	白尾鹿
botany bay fig	植物灣無花果	植物湾无花果
sodium phosphate	磷酸鈉	磷酸钠
witch elm	惠氏榆樹	惠氏榆树
clover-leaf roll	三葉草卷	三叶草卷
hind limb	後肢	后肢
venetian glass	彩色裝飾玻璃	彩色装饰玻璃
white perch	美洲石𪤇 (Roccus americanus	美洲石𪤇 (Roccus americanus
orchid tree	紅花羊蹄甲 (Bauhinia variegata)	红花羊蹄甲 (Bauhinia variegata)
axle grease	軸用(潤滑)油	轴用(润滑)油
lake constance	康斯坦茨湖	康斯坦茨湖
animal starch	糖原	糖原
fluorescent lamp	熒光燈	荧光灯
almond-leaves willow	杏仁葉柳	杏仁叶柳
black-tailed deer	黑尾鹿	黑尾鹿
animal toxin	動物毒素	动物毒素
white false indigo	白色假靛藍	白色假靛蓝
docking facility	泊船裝置	泊船设备
jug wine	壺酒	壶酒
swan river everlasting	託菊	托菊
mediterranean flour moth	地中海斑螟	地中海斑螟
vascular strand	維管束	维管束
mason wasp	紅切葉蜂	红切叶蜂
rh-negative blood type	陰性血型	阴性血型
wild boar	野豬	野猪
waffle iron	對開式鐵心	对开式铁心
jackass bat	驢蝠	驴蝠
outside clinch	外活套結	外活套结
fudge sauce	軟糖醬	软糖酱
hood latch	機罩閂	机罩闩
afghan hound	阿富汗獵狗	阿富汗猎狗
handheld drill	手持鑽	手持钻
celery root	芹菜根	芹菜根
submarine torpedo	潛艇魚雷	潜艇鱼雷
fly orchid	蠅蘭	蝇兰
parlor grand piano	客廳大鋼琴	客厅大钢琴
burr drill	牙鑽	牙钻
true mahogany	真桃花心木	真桃花心木
genus lama	喇嘛屬	喇嘛属
taper file	推拔扁銼	推拔扁锉
inside clinch	內旋結	内旋结
dish washer	洗碟機	洗碟机
root celery	根芹菜	根芹菜
emery stone	鋼砂石	钢砂石
labrador tea	拉不拉多茶樹	拉不拉多茶树
superior pulmonary vein	肺上靜脈	肺上静脉
blue false indigo	【植物】藍花贗靛 (Baptisia australis	【植物】蓝花赝靛 (Baptisia australis
peruvian bark	秘魯皮	秘鲁皮
sal volatile	揮發鹽	挥发盐
alligator grass	鱷魚草	鳄鱼草
butt weld	對頭焊接	对头焊接
pelvic arch	骨盆弓	骨盆弓
european perch	河鱸	河鲈
butt-weld	碰焊	碰焊
garland crab	花環蟹	花环蟹
disco biscuit	鎮痛劑（催眠藥的俗稱）	镇痛剂（催眠药的俗称）
celery seed	芹實	芹实
scoop shovel	鬥式挖土機	斗式挖土机
strait of dover	多佛海峽	多佛海峡
sinus	竇	窦
swimsuit	游泳衣	游泳衣
grotesque	奇異風格	奇异风格
white-tailed sea eagle	白尾海雕	白尾海雕
boardwalk	木板路	木板路
arabian camel	阿拉伯單峰駝（等於dromedary）	阿拉伯单峰驼（等于dromedary）
surveying instrument	測量儀器	测量仪器
whip-scorpion	【動】鞭蠍	【动】鞭蝎
dwarf chestnut	【植物】矮慄( =chinquapin)	【植物】矮栗( =chinquapin)
double clinch	雙扣	双扣
potato pancake	土豆餅	土豆饼
grizzly	灰熊	灰熊
skid	剎車	刹车
ethernet	乙太網	以太网
goldfish	金魚	金鱼
myrtle oak	桃金娘橡木	桃金娘橡木
intestinal juice	腸液	肠液
potter wasp	蜾蠃	蜾蠃
liza	莉莎（女子名）	莉莎（女子名）
conduit	導管	导管
external nasal vein	鼻外靜脈	鼻外静脉
cervical vein	頸靜脈	颈静脉
glaze	釉	釉
clinch river	Clin河	Clin河
flooring	地板	地板
tam	便帽（蘇格蘭人戴的）	便帽（苏格兰人戴的）
hot-fudge sauce	熱巧克力汁	热巧克力汁
adamant	堅硬的東西	坚硬的东西
snow orchid	雪蘭	雪兰
whip scorpion	鞭尾蠍	鞭尾蝎
screw propeller	螺旋槳	螺旋桨
radial vein	徑脈	径脉
forearm	前臂	前臂
oyster mushroom	蠔蘑	蚝蘑
seasoning	調味品	调味品
brittle	易碎的	易碎的
dune	沙丘	沙丘
dental appliance	牙膠	牙胶
bedrock	基岩	基岩
carpet loom	地毯織機	地毯织机
yosemite	(=National Park) (美國加利福尼亞州中部)約塞米蒂國家公園	(=National Park) (美国加利福尼亚州中部)约塞米蒂国家公园
tau cross	T字形十字架	T字形十字架
yellowstone	黃石河	黄石河
grape arbor	葡萄喬木	葡萄乔木
splinter	碎片	碎片
mozambique channel	莫三比克海峽	莫桑比克海峡
long-handled spade	長柄鏟	长柄铲
sulfur dioxide	二氧化硫	二氧化硫
artificial additive	人造新增劑	人造添加剂
mahogany tree	桃花心木樹	桃花心木树
bonnet shark		
stream orchid	北美原生種小河蘭	北美原生种小河兰
chlorine dioxide	二氧化碳	二氧化碳
forest tent caterpillar	森林天幕毛蟲	森林天幕毛虫
meadow rue	唐松草	唐松草
plum pudding	葡萄乾布丁	葡萄干布丁
hangar queen	機庫女王	机库女王
hog sucker	北方黑豬魚	北方黑猪鱼
sand viper	沙蝰	沙蝰
fermentation alcohol	發酵酒精	发酵酒精
marrow squash	西葫蘆	西葫芦
water pore	水孔	水孔
badminton court	羽毛球場	羽毛球场
soothing syrup	舒緩糖漿	舒缓糖浆
tooth enamel	牙釉質	牙釉质
hay conditioner	牧草壓扁機	牧草压扁机
silver perch	銀桃	银桃
water finder	測水器	测水器
african mahogany	非洲桃花心木	非洲桃花心木
sausage hound	香腸獵犬	香肠猎犬
hairy darling pea	毛茸茸的寶貝	毛茸茸的宝贝
truss bridge	桁架橋	桁架桥
gill fungus	傘菌	伞菌
senegal gum	阿拉伯膠	阿拉伯胶
electron accelerator	電子加速器	电子加速器
genus octopus	章魚屬	章鱼属
brittle star	海蛇尾	海蛇尾
alligator weed	螃蜞菊(Alternanthera phylloxe-roides)	螃蜞菊(Alternanthera phylloxe-roides)
ocean perch	海鱸	海鲈
venetian blind	軟百葉簾	软百叶帘
bonnet monkey	〔動〕帽猴(獼猴屬)	〔动〕帽猴(猕猴属)
view finder	取錄器	取录器
nutrient artery	滋養動脈	滋养动脉
meteorological balloon	氣象探測氣球	气象探测气球
twin-propeller-plane	雙螺旋槳飛機	双螺旋桨飞机
seed lac	粗紫膠	粗紫胶
renal vein	腎靜脈	肾静脉
weaver finch	織布雀	织布雀
semi-abstraction	半抽象	半抽象
ballistic capsule	彈道艙	弹道舱
valve rocker	閥搖桿	阀摇杆
seaside scrub oak	海邊擦洗橡木	海边擦洗橡木
angular artery	內<&14&>動脈	内<&14&>动脉
malaria parasite	瘧原蟲	疟原虫
brittle-star	海蛇尾	海蛇尾
yellow perch	黃鱸	黄鲈
genus siren	屬於警笛	属于警笛
cultivated cabbage	栽培白菜	栽培白菜
barrage balloon	阻塞氣球	阻塞气球
range finder	測距儀	测距仪
artery of the penis bulb	陰莖燈泡的動脈	阴茎灯泡的动脉
calcium phosphate	磷酸鈣	磷酸钙
butt hinge	平摺頁	平折页
baking-powder biscuit	用發酵粉做的餅乾	用发酵粉做的饼干
emery wheel	砂輪	砂轮
blueberry bush	藍莓布什	蓝莓布什
pigeon pea	木豆	木豆
alligator clip	鱷魚夾	鳄鱼夹
yellowstone river	黃石河	黄石河
scotch fir	【植】銀松	【植】银松
spinach mustard	菠菜芥末	菠菜芥末
skating rink	溜冰場	溜冰场
analogue computer	模擬電腦	模拟电脑
straight sinus	直竇	直窦
watered-silk	波紋綢	波纹绸
belgian beef stew	比利時燉牛肉	比利时炖牛肉
high-bush blueberry	高調藍莓	高调蓝莓
kangaroo hare	兔袋鼠	兔袋鼠
rhine river	萊茵河	莱茵河
deep cervical vein	頸深靜脈	颈深静脉
martini	馬提尼（一種雞尾酒	马提尼（一种鸡尾酒
fern	蕨類植物	蕨类植物
incense	香	香
monoxide	一氧化物	一氧化物
direction finder	探向器	探向器
black root rot fungus	黑根腐真菌	黑根腐真菌
raccoon	浣熊	浣熊
tote	負擔	负担
olive ridley	橄欖海龜	橄榄海龟
dartmouth	達特茅斯（英國港口）	达特茅斯（英国港口）
life saver	救命的人	救命的人
rye whisky	黑麥威士忌酒	黑麦威士忌酒
badminton equipment	羽毛球器材	羽毛球器材
trident	三齒魚叉	三齿鱼叉
blower	吹制工	吹制工
syringe	注射器	注射器
shipyard	造船廠	造船厂
beech	山毛櫸	山毛榉
silica	矽石	硅石
blazer	燃燒體	燃烧体
concord grape	康科特葡萄（等於Vitis labrusca	康科特葡萄（等于Vitis labrusca
low-bush blueberry	低布什藍莓	低布什蓝莓
clerical collar	某些教士所帶的硬白領	某些教士所带的硬白领
banjo	班卓琴	班卓琴
ping-pong table	乒乓球桌	乒乓球桌
slit trench	狹長散兵壕	狭长散兵壕
giant perch	巨鱸	巨鲈
piping crow	蘇拉烏鴉	苏拉乌鸦
robber frog	強盜青蛙	强盗青蛙
ear lobe	耳垂	耳垂
pendulum	鐘擺	钟摆
parsley	皺葉歐芹	皱叶欧芹
gastric acid	胃酸	胃酸
eyebrow pencil	眉筆	眉笔
ping-pong ball	乒乓球	乒乓球
siberian wall flower	七里黃	七里黄
chilean cedar	智利擬肖楠	智利拟肖楠
substantive dye	直接染料	直接染料
petit point	斜針繡	斜针绣
sanitary towel	衛生巾	卫生巾
digestive tract	消化道	消化道
sheet piling	打板樁	打板桩
white beech	美洲山毛櫸	美洲山毛榉
gastrointestinal system	胃腸系統	胃肠系统
black beech	黑櫸木	黑榉木
water fern	滿江紅	满江红
pendulum watch	擺鐘表	摆钟表
cafeteria tray	自助餐托盤	自助餐托盘
hard beech	硬櫸木	硬榉木
american beech	美國水青岡	美国水青冈
cynthia moth	辛西ia	辛西ia
new york fern	紐約蕨類植物	纽约蕨类植物
hand blower	手搖鼓風機	手摇鼓风机
nova scotia salmon	新斯科舍鮭魚	新斯科舍鲑鱼
red beech	紅假山毛櫸	红假山毛榉
hard fern	【植物】	【植物】
beech family	山毛櫸科	山毛榉科
meadow pea	草地山黧豆	草地山黧豆
petit four	花式小蛋糕	花式小蛋糕
hand fern	手蕨	手蕨
fern family	蕨類家庭	蕨类家庭
cheddar cheese	切達乾酪	切达干酪
arabian jasmine	茉莉（花名）	茉莉（花名）
hood ornament	引擎蓋標誌	引擎盖标志
pulmonary artery	肺動脈	肺动脉
blueberry root	藍莓根	蓝莓根
rhine wine	萊茵白葡萄酒	莱茵白葡萄酒
big-cone douglas fir	大圓錐花楸冷杉	大圆锥花楸冷杉
brown root rot fungus	棕根腐菌	棕根腐菌
dancing lady orchid	跳舞蘭	跳舞兰
ice-skating rink	溜冰場	溜冰场
aromatic compound	芳族化合物	芳族化合物
transverse process	橫突	横突
king fern	國王蕨	国王蕨
gastric juice	胃液	胃液
magnesium oxide	氧化鎂	氧化镁
grizzly bear	大灰熊	大灰熊
common raccoon	北美浣熊	北美浣熊
felt fern	感覺到蕨類植物	感觉到蕨类植物
dartmouth college	達特茅斯學院	达特茅斯学院
common beech	歐洲山毛櫸	欧洲山毛榉
film fern	電影蕨類植物	电影蕨类植物
gold fern	金蕨	金蕨
cheddar pink	石竹	石竹
pit viper	頰窩毒蛇(如響尾蛇	颊窝毒蛇(如响尾蛇
gastric mill	胃磨	胃磨
sodium chloride	氯化鈉	氯化钠
corn dab	玉米。	玉米。
cobalt bloom	鈷華	钴华
timor sea	帝汶海	帝汶海
ten-day fern	十日蕨	十日蕨
california fern	加州蕨類植物	加州蕨类植物
crotch hair	襠毛	裆毛
wall fern	水龍骨	水龙骨
raccoon dog	狸	狸
ball fern	【植物】骨碎補(蕨) (Davallia trichomanoides) [亦作 squirrel's-foot fern]	【植物】骨碎补(蕨) (Davallia trichomanoides) [亦作 squirrel's-foot fern]
european beech	歐洲山毛櫸	欧洲山毛榉
monterey pine	輻射松	辐射松
pigeon-pea plant	豌豆廠	豌豆厂
pepsi cola	百事可樂	百事可乐
java olives	Java橄欖	Java橄榄
cider vinegar	平果醋	平果醋
chloride of lime	漂白粉	漂白粉
simple pendulum	單擺	单摆
chinese parsley	香菜	香菜
indigo snake	森王蛇	森王蛇
kosher	合猶太人戒律的	合犹太人戒律的
pasture brake	牧場剎車	牧场刹车
groin	腹股溝	腹股沟
kinase	激酶	激酶
brothel	妓院	妓院
quay	碼頭	码头
sirius	天狼星	天狼星
gun pendulum	槍擺	枪摆
tortoise	龜	龟
pin-tailed duck	針尾鴨	针尾鸭
coffee fern	咖啡蕨	咖啡蕨
estuary	河口	河口
parasitic plant	寄生植物	寄生植物
picket ship	警戒哨艦	警戒哨舰
daphne	[植]瑞香	[植]瑞香
maxi	長大衣	长大衣
physical pendulum	物理擺	物理摆
bayer	拜耳	拜耳
christmas fern	聖誕蕨	圣诞蕨
formative cell	形成細胞	形成细胞
fitch	艾鼬	艾鼬
burrito	墨西哥玉米煎餅	墨西哥玉米煎饼
walking fern	根葉過山蕨	根叶过山蕨
lady fern	蕨類植物	蕨类植物
projectile	發射體	发射体
starship	恆星飛船	恒星飞船
canine tooth	犬齒	犬齿
sweet fern	香蕨木(Comptonia peregrina)	香蕨木(Comptonia peregrina)
railing	扶手	扶手
bison	野牛	野牛
serotonin	血清素	血清素
indian beech	印度櫸木	印度榉木
annual fern	一年生蕨類植物	一年生蕨类植物
male fern	綿馬	绵马
typewriter	打字機	打字机
puddle	小池	小池
hamper	食籃	食篮
gunpowder	火藥	火药
